timestamp,event_id,target_user,ip,logon_type,status,sub_status
2025-10-17 21:37:03.751865+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:37:08.455873+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:37:15.075455+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:37.877996+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-18 12:02:37.878017+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-18 12:02:39.859030+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:39.922569+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:40.785725+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:44.269676+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-18 12:02:44.269695+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-18 12:02:47.604639+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:50.297812+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:52.739426+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:52.745703+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:52.747215+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:52.751276+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:52.752745+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:52.804983+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:52.960701+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:53.066135+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:53.801702+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:53.804020+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:53.805277+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:53.808020+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:53.809120+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:53.813856+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:53.884195+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:02:53.966440+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:03:04.557676+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:03:09.478634+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:03:18.564718+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:03:19.111334+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:04:51.959822+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:06:57.108309+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:07:37.745855+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:07:39.137175+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:09:53.893244+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:10:34.914362+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:10:35.138058+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:11:14.461529+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:16:02.503439+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:16:04.207312+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:17:39.636768+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:17:41.463106+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:17:58.879831+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:18:32.495893+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:21:59.013723+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:26:03.109268+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:31:03.353476+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:32:44.229099+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:33:44.571115+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:36:03.539198+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:44:59.421026+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:47:44.362991+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:49:07.798241+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:49:41.527632+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:50:05.839626+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:50:06.285875+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:51:00.781239+00:00,4624,SYSTEM,-,5,,
2025-10-18 12:55:21.165529+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:00:21.455410+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:02:44.421406+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:05:21.584974+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:15:22.728252+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:15:23.031826+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:17:44.543255+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:25:24.705540+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:25:24.797966+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:28:01.876554+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:28:02.048317+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:32:44.627415+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:33:03.430420+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:35:58.973734+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:39:05.910343+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:41:02.611948+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:46:02.813753+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:47:44.718180+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:51:02.939280+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:55:43.845520+00:00,4624,SYSTEM,-,5,,
2025-10-18 13:55:54.225416+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:01:15.509289+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:02:39.130207+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:02:39.267365+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:02:44.835026+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:02:47.794563+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:02:48.184614+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:04:32.406551+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:05:15.388765+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:09:33.004263+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:09:34.123293+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:14:33.234793+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:17:44.909002+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:19:33.435844+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:22:24.832312+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:32:45.039387+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:34:33.689144+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:39:33.822477+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:43:35.537796+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:43:45.819637+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:47:45.152740+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:51:52.148867+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:51:52.185631+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:51:52.309465+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:51:52.642179+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:51:52.756618+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:51:52.864113+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:51:52.879789+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:51:53.748550+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:52:03.144157+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:52:05.438667+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:52:14.971827+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:52:24.159986+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:52:52.190517+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:52:52.241810+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:53:31.196079+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:54:29.839642+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:54:34.980410+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:54:35.167919+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:54:36.065029+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:54:38.847778+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:54:43.904501+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:54:59.758928+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:55:17.865097+00:00,4624,SYSTEM,-,5,,
2025-10-18 14:57:00.920685+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:01:52.785023+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:01:53.066610+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:02:01.976015+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:03:20.766600+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:03:23.846340+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:16:37.055281+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:16:41.969915+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-18 15:16:41.969929+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-18 15:20:43.160316+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:21:06.139095+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:23:13.702446+00:00,4624,SYSTEM,-,5,,
2025-10-18 15:23:19.802654+00:00,4624,UMFD-3,-,2,,
